_ga;GA1.2.870429877.1591450111;.guru99.com;/;Mon Jun 06 18:58:38 IST 2022;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sat Jun 06 18:59:31 IST 2020;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.7015750.1591450111;.guru99.com;/;Sun Jun 07 18:58:38 IST 2020;false
